"Installments","Numar Rate"
"Allowed Installments (comma separated values)","Numar de rate permise (valori numerice separate de virgula)"
"%s installments without interest","%s rate fără dobandă"
"Full payment","Plată integrală"
"Invalid authorization amount: response amount = %s does not match initial authorization amount = %s","Suma de autorizare este invalida: Suma Primita = %s nu este egala cu Suma Inițială Trimisă = %s"
"There was an error processing your order. Please contact us or try again later.","There was an error processing your order. Please contact us or try again later."
"Authorized amount of %s approved by payment gateway.","Authorized amount of %s approved by payment gateway."
"Refund response from gateway is valid.","Refund response from gateway is valid."
"Capture response from gateway is valid.","Capture response from gateway is valid."
"Invalid response returned from payment gateway!","Invalid response returned from payment gateway!"
"This Payment Module does not work in test mode!","Această metodă de plată nu funcționează în modul testare!"
